"지역","직업분류","분진노출정도","유기용제노출정도","화학제품노출정도","직업항목"
"서울특별시",2,6,6,6,"전문가"
"서울특별시",9,2,6,6,"장치기계 조작 및 조립 종사자"
"서울특별시",9,2,6,2,"장치기계 조작 및 조립 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",2,7,7,6,"전문가"
"서울특별시",10,5,7,5,"단순노무 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",10,7,7,6,"단순노무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",8,7,7,7,"기능원 및 관련 기능 종사자"
"서울특별시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",6,6,7,6,"판매 종사자"
"서울특별시",6,7,6,6,"판매 종사자"
"서울특별시",5,6,5,5,"서비스 종사자"
"서울특별시",6,6,6,5,"판매 종사자"
"서울특별시",8,7,6,6,"기능원 및 관련 기능 종사자"
"서울특별시",5,3,4,4,"서비스 종사자"
"서울특별시",4,4,6,6,"사무 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",8,2,6,6,"기능원 및 관련 기능 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",8,3,4,3,"기능원 및 관련 기능 종사자"
"서울특별시",9,6,6,6,"장치기계 조작 및 조립 종사자"
"서울특별시",10,6,6,6,"단순노무 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",3,7,7,7,"기술공 및 준전문가"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,6,7,7,"판매 종사자"
"서울특별시",10,6,6,6,"단순노무 종사자"
"서울특별시",3,6,6,6,"기술공 및 준전문가"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",10,6,6,6,"단순노무 종사자"
"서울특별시",3,5,5,6,"기술공 및 준전문가"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",2,6,6,6,"전문가"
"서울특별시",6,3,6,6,"판매 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",3,5,4,4,"기술공 및 준전문가"
"서울특별시",3,6,6,5,"기술공 및 준전문가"
"서울특별시",9,7,6,6,"장치기계 조작 및 조립 종사자"
"서울특별시",4,7,7,6,"사무 종사자"
"서울특별시",4,7,7,6,"사무 종사자"
"서울특별시",9,5,4,6,"장치기계 조작 및 조립 종사자"
