"소재지","업종명","화학물질노출근무자수"
"강원","식료품제조업",2
"강원","식료품제조업",0
"강원","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"강원","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"강원","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"강원","식료품제조업",0
"강원","식료품제조업",4
"강원","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"강원","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"강원","수송용기계기구제조업ㆍ자동차및모터사이클수리업",21
"강원","식료품제조업",5
"강원","수송용기계기구제조업ㆍ자동차및모터사이클수리업",1
"강원","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"강원","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"강원","유리제조업",24
"강원","화학제품제조업",14
"강원","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"강원","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",10
"강원","식료품제조업",2
"강원","식료품제조업",0
"강원","의약품ㆍ화장품향료ㆍ담배제조업",20
"강원","의약품ㆍ화장품향료ㆍ담배제조업",20
"강원","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",129
"강원","식료품제조업",0
"강원","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"강원","의약품ㆍ화장품향료ㆍ담배제조업",20
"강원","화학제품제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",3
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",1
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"서울","수송용기계기구제조업ㆍ자동차및모터사이클수리업",50
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기타제조업",0
