"회사명","산업단지명","대표업종","생산품","원자재","groups","공장규모","공장규모가중치","종업원수","도로명주소","지번주소","위도","경도","소분류","소분류항목명","중분류","중분류항목명","세탁소와거리","수주업체명","공장별세탁량"
"
명성금속주식회사",NA,25912,"금속단조품",NA,"GSN","소기업",3,17,"경상남도 김해시 진영읍 본산로241번길 70","경상남도 김해시 진영읍 본산리 654",35.2617696232,128.770382921,259,"기타 금속 가공제품 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",7626.88929978081,NA,0
"종삼벤드",NA,31114,"선박부품","선박부품","GSN","소기업",3,7,"경상남도 김해시 진례면 담안리 1077-13","경상남도 김해시 진례면 담안리 1077-13",35.0553035662,127.9512402115,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",82226.2422104242,NA,0
"(사)경남교통장애인협회 마산지회",NA,22231,"비닐,PE",NA,"GSN","소기업",3,5,"경상남도 김해시 주촌면 서부로1541번길 86-98","경상남도 김해시 주촌면 내삼리 312",35.2122303774,128.6433465612,222,"플라스틱 제품 제조업",22,"고무 및 플라스틱제품 제조업",17196.7235575909,NA,0
"(유)근영금속",NA,24329,"광산기계부품","폐동선,주석,납","GSN","소기업",3,11,"경상남도 김해시 주촌면 서부로1701번안길 58-199","경상남도 김해시 주촌면 선지리 35",35.3247353955,128.8259104765,243,"금속 주조업",24,"1차 금속 제조업",12149.9449292514,NA,0
"(유)성문","김해테크노밸리일반산업단지",31114,"Regasfication unit, EGR, Double gas pipes",NA,"GSN","중기업",2,54,"경상남도 김해시 진례면 테크노밸리1로 122, (유)성문","경상남도 김해시 진례면 고모리 1105-13",35.1731612342,128.1049143037,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",66398.4039960895,NA,0
"(유)성문","김해테크노밸리일반산업단지",31114,"선박구성부품","steel pipe sus pipe steel plate","GSN","소기업",3,4,"경상남도 김해시 진례면 테크노밸리1로 123","경상남도 김해시 진례면 고모리 1106-13",35.1748302079,128.112815647,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",65667.0260049532,NA,0
"(유)아이티더블유건화","김해병동농공단지",30399,"자동차부품",NA,"GSN","소기업",3,40,"경상남도 김해시 한림면 김해대로916번길 154-19","경상남도 김해시 한림면 병동리 589",35.2869289351,128.3062524885,303,"자동차 신품 부품 제조업",30,"자동차 및 트레일러 제조업",48518.1432997494,NA,0
"(유)영동레미콘",NA,23322,"레미콘,골재","시멘트,자갈,모래,물","GSN","소기업",3,34,"경상남도 김해시 상동면 상동로 862-79","경상남도 김해시 상동면 매리 464-23",35.2126309172,128.8007486186,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",23,"비금속 광물제품 제조업",2877.55692289034,NA,0
"(유)유성강재",NA,24111,"철판","철","GSN","소기업",3,12,"경상남도 김해시 상동면 상동로685번길 53-2 (총 3 필지)","경상남도 김해시 상동면 대감리 271-7",35.2099771015,128.6525633277,241,"1차 철강 제조업",24,"1차 금속 제조업",16365.1270521208,NA,0
"(유)유창환경공사",NA,29193,"무인자동소독기외",NA,"GSN","소기업",3,2,"경상남도 김해시 전하로 25 (풍유동)","경상남도 김해시 풍유동 69-6",35.2375772796,128.9074438073,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",7282.26131017493,NA,0
