접수일자,수주업체명,세탁수량
2020-01-02,화남정밀,4 
2020-01-02,문스틸,7 
2020-01-02,대경정밀,3 
2020-01-02,개인,12 
2020-01-03,진양테크,8 
2020-01-06,보성기계,2 
2020-01-06,천우테크,10 
2020-01-06,sm테크,16 
2020-01-06,개인,6 
2020-01-06,영케미칼,14 
2020-01-06,한국정밀,15 
2020-01-06,경진테크,28 
2020-01-07,금광테크,37 
2020-01-07,HK금속,18 
2020-01-07,고려산기,33 
2020-01-08,터보링크,6 
2020-01-08,터보링크(경비),1 
2020-01-08,네오텍,12 
2020-01-08,우진정밀,38 
2020-01-08,한경ENG,16 
2020-01-08,자운축산,39 
2020-01-08,흥일기업,51 
2020-01-08,개인,5 
2020-01-09,화남정밀,8 
2020-01-09,정우산업사,35 
2020-01-10,aj테크,21 
2020-01-13,개인,4 
2020-01-13,천우테크,12 
2020-01-13,sm테크,17 
2020-01-13,한국정밀,5 
2020-01-14,금광테크,42 
2020-01-14,고려산기,56 
2020-01-14,HK금속,22 
2020-01-14,준성산업,43 
2020-01-14,문스틸,9 
2020-01-14,삼회산업,36 
2020-01-15,흥일기업,55 
2020-01-15,터보링크,7 
2020-01-15,우진정밀,24 
2020-01-15,대성테크닉스,11 
2020-01-15,네오텍,14 
2020-01-15,자운축산,47 
2020-01-15,개인,4 
2020-01-16,화남정밀,2 
2020-01-16,협성렌탈,2 
2020-01-17,대동중공업,17 
2020-01-20,천우테크,8 
2020-01-20,영케미칼,36 
2020-01-20,i테크,17 
2020-01-20,sm테크,17 
2020-01-20,보성기계,7 
2020-01-20,경진테크,12 
2020-01-20,한국정밀,13 
2020-01-21,고려산기,36 
2020-01-21,HK금속,27 
2020-01-21,문스틸,6 
2020-01-21,금광테크,42 
2020-01-21,개인,12 
2020-01-21,개인,8 
2020-01-22,동우기계,18 
2020-01-22,흥일기업,40 
2020-01-22,자운축산,42 
2020-01-22,네오텍,6 
2020-01-22,우진정밀,18 
2020-01-22,터보링크,18 
2020-01-23,개인,2 
2020-01-23,부경식품,50 
2020-01-23,화남정밀,10 
2020-01-28,금광테크,20 
2020-01-28,천우테크,6 
2020-01-28,SM테크,7 
2020-01-28,HK금속,19 
2020-01-28,진흥기계,14 
2020-01-28,문스틸,3 
2020-01-29,i테크,13 
2020-01-29,개인,6 
2020-01-29,자운축산,12 
2020-01-29,네오텍,12 
2020-01-29,신일정공,8 
2020-01-29,터보링크,4 
2020-01-30,개인,24 
2020-01-30,개인,7 
2020-01-30,개인,7 
2020-01-31,화남정밀(김규빈),3 
2020-01-31,대동중공업,19 
2020-01-31,개인,2 
2020-01-31,신일전기,10 
2020-02-03,경진테크,8 
2020-02-03,영케미칼,28 
2020-02-03,천우테크,8 
2020-02-03,한국정밀,15 
2020-02-03,보성기계,2 
2020-02-03,SM테크,19 
2020-02-03,개인,2 
2020-02-03,개인,2 
2020-02-04,문스틸,8 
2020-02-04,금광테크,48 
2020-02-04,개인,10 
2020-02-04,HK금속,21 
2020-02-04,고려산기,52 
2020-02-04,개인,4 
2020-02-04,우진와이어,40 
2020-02-05,개인,2 
2020-02-05,개인,5 
2020-02-05,대동중공업 박재영,4 
2020-02-05,흥일기업,47 
2020-02-05,개인,14 
2020-02-05,신일정공,10 
2020-02-05,화남정밀,9 
2020-02-05,터보링크,5 
2020-02-05,자운축산,52 
2020-02-05,신광식품,38 
2020-02-05,우진정밀,37 
2020-02-05,네오텍,4 
2020-02-06,신신사,10 
2020-02-10,개인,2 
2020-02-10,천우테크,14 
2020-02-10,sm테크,18 
2020-02-10,보성기계,13 
2020-02-10,한국정밀,14 
2020-02-10,개인,5 
2020-02-11,개인,7 
2020-02-11,금광테크,43 
2020-02-11,문스틸,6 
2020-02-11,i테크,12 
2020-02-11,HK금속,24 
2020-02-11,EDS코리아,59 
2020-02-11,고려산기,45 
2020-02-12,화성기계,2 
2020-02-12,신일정공,12 
2020-02-12,흥일기업,44 
2020-02-12,우진정밀,16 
2020-02-12,자운축산,47 
2020-02-12,네오텍,22 
2020-02-12,이지엔지니어링,9 
2020-02-12,터보링크,9 
2020-02-12,보이텍,6 
2020-02-13,화남정밀,7 
2020-02-14,르노삼성,6 
2020-02-17,SM테크,16 
2020-02-17,보성기계,2 
2020-02-17,천우테크,8 
2020-02-17,개인,14 
2020-02-17,영케미칼,31 
2020-02-17,한국정밀,9 
2020-02-17,경진테크,14 
2020-02-17,정암산업,108 
2020-02-17,우진기어,7 
2020-02-17,우진테크,15 
2020-02-18,문스틸,6 
2020-02-18,개인,4 
2020-02-18,금광테크,35 
2020-02-18,이지엔지니어링,3 
2020-02-18,HK금속,22 
2020-02-18,고려산기,47 
2020-02-19,흥일기업,37 
2020-02-19,화성기계,8 
2020-02-19,신일정공,11 
2020-02-19,자운축산,41 
2020-02-19,터보링크,6 
2020-02-19,해남기공,13 
2020-02-19,대동중공업,19 
2020-02-19,네오텍,25 
2020-02-19,신광식품,15 
2020-02-19,우진정밀,26 
2020-02-20,화남정밀,6 
2020-02-21,우신에어텍,9 
2020-02-21,개인,3 
2020-02-21,개인,3 
2020-02-24,SM테크,19 
2020-02-24,천우테크,13 
2020-02-24,한국정밀,5 
2020-02-24,i테크,11 
2020-02-24,재호테크,32 
2020-02-24,개인,6 
2020-02-25,개인,3 
2020-02-25,문스틸,6 
2020-02-25,금광테크,39 
2020-02-25,개인,1 
2020-02-25,HK금속,24 
2020-02-25,우진기어,6 
2020-02-25,고려산기,41 
2020-02-26,화성기계,9 
2020-02-26,신일정공,11 
2020-02-26,우진정밀,19 
2020-02-26,흥일기업,38 
2020-02-26,터보링크,9 
2020-02-26,신광식품,15 
2020-02-26,자운축산,41 
2020-02-26,개인,17 
2020-02-26,네오텍,8 
2020-02-26,카길애그리퓨리나,84 
2020-02-26,삼보,32 
2020-03-09,정암산업,112 
2020-03-09,한국정밀,9 
2020-03-09,천우테크,21 
2020-03-09,SM테크,17 
2020-03-09,영케미칼,9 
2020-03-09,경진테크,22 
2020-03-09,동우기계,17 
2020-03-09,I테크,25 
2020-03-09,개인,12 
2020-03-09,개인,3 
2020-03-09,개인,23 
2020-03-09,개인,12 
2020-03-09,동산전자,14 
2020-03-09,TSM,24 
2020-03-10,삼보코퍼레이티드,59 
2020-03-10,카길애그리퓨리나,154 
2020-03-10,HK금속,10 
2020-03-10,우진기어,10 
2020-03-10,고려산기,56 
2020-03-10,우진와이어,36 
2020-03-10,금광테크,51 
2020-03-10,개인,10 
2020-03-10,문스틸,7 
2020-03-11,화성기계,1 
2020-03-11,르노삼성,47 
2020-03-11,신일정공,8 
2020-03-11,흥일기업,57 
2020-03-11,터보링크,10 
2020-03-11,재호테크,32 
2020-03-11,우진정밀,46 
2020-03-11,개인,6 
2020-03-11,개인,11 
2020-03-12,화남정밀,12 
2020-03-16,영케미칼,43 
2020-03-16,천우테크,18 
2020-03-16,SM테크,18 
2020-03-16,한국정밀,5 
2020-03-16,정암산업,27 
2020-03-16,개인,5 
2020-03-16,개인,10 
2020-03-16,금강엔지니어링,11 
2020-03-16,기아오토큐 장유점,22 
2020-03-17,고려산기,33 
2020-03-17,문스틸,7 
2020-03-17,금광테크,56 
2020-03-17,삼보코퍼레이티드,29 
2020-03-17,카길애그리퓨리나,86 
2020-03-17,HK금속,17 
2020-03-17,우진기어,6 
2020-03-17,JPS,18 
2020-03-17,TSM,30 
2020-03-17,보성기계,2 
2020-03-18,이안정공,28 
2020-03-18,재호테크,28 
2020-03-18,흥일기업,42 
2020-03-18,기아오토큐 장유점,11 
2020-03-18,터보링크,6 
2020-03-18,우진정밀,21 
2020-03-18,네오텍,8 
2020-03-18,르노삼성,43 
2020-03-18,협성렌탈,1 
2020-03-18,신일정공,11 
2020-03-18,개인,1 
2020-03-18,개인,10 
2020-03-18,개인,4 
2020-03-19,개인,8 
2020-03-19,개인,11 
2020-03-23,한국정밀,9 
2020-03-23,대성테크닉스,6 
2020-03-23,천우테크,13 
2020-03-23,정암산업,97 
2020-03-23,동두산업,12 
2020-03-23,기아오토큐 장유점,17 
2020-03-23,경진테크,19 
2020-03-23,성일테크,9 
2020-03-23,SM테크,24 
2020-03-23,개인,6 
2020-03-23,개인,4 
2020-03-23,개인,2 
2020-03-23,개인,10 
2020-03-23,영케미칼,20 
2020-03-24,우진테크,20 
2020-03-24,우진기어,8 
2020-03-24,고려산기,37 
2020-03-24,HK금속,24 
2020-03-24,보성기계,9 
2020-03-24,문스틸,7 
2020-03-24,금광테크,40 
2020-03-24,삼보코퍼레이티드,31 
2020-03-24,카길애그리퓨리나,81 
2020-03-24,이지엔지니어링,12 
2020-03-24,TSM,24 
2020-03-25,르노삼성,64 
2020-03-25,흥일기업,41 
2020-03-25,신일정공,9 
2020-03-25,이안정공,9 
2020-03-25,우진정밀,18 
2020-03-25,네오텍,23 
2020-03-25,개인,9 
2020-03-25,터보링크,4 
2020-03-25,재호테크,22 
2020-03-25,화남정밀(김동현),1 
2020-03-25,개인,6 
2020-03-26,자운축산,15 
2020-03-26,개인,29 
2020-03-26,개인,4 
2020-03-26,화남정밀,2 
2020-03-30,성일테크,13 
2020-03-30,정암산업,60 
2020-03-30,한국정밀,7 
2020-03-30,천우테크,13 
2020-03-30,SM테크,18 
2020-03-30,보성기계,7 
2020-03-30,AJ테크,20 
2020-03-30,기아오토큐 장유점,20 
2020-03-30,개인,2 
2020-03-30,개인,19 
2020-03-30,개인,5 
2020-03-31,금광테크,31 
2020-03-31,고려산기,32 
2020-03-31,TSM,13 
2020-03-31,HK금속,28 
2020-03-31,재호테크,22 
2020-03-31,우진기어,7 
2020-03-31,문스틸,10 
2020-03-31,개인,7 
2020-03-31,스맥,168 
2020-04-01,흥일기업,29 
2020-04-01,르노삼성,47 
2020-04-01,신일정공,9 
2020-04-01,우진정밀,21 
2020-04-01,i테크,8 
2020-04-01,삼보코퍼레이티드,25 
2020-04-01,카길애그리퓨리나,82 
2020-04-01,자운축산,19 
2020-04-01,개인,2 
