"","위도","경도","공장규모","종업원수","중분류항목명","예상세탁량"
"1",36.3212088793,127.3209605172,"소기업",38,"인쇄 및 기록매체 복제업",12.6512308120728
"2",36.3370465679,127.4251810832,"소기업",2,"인쇄 및 기록매체 복제업",4.33021116256714
"3",36.3348441233,127.4283781183,"소기업",7,"인쇄 및 기록매체 복제업",4.33021116256714
"4",36.3348441233,127.4283781183,"소기업",14,"인쇄 및 기록매체 복제업",4.33021116256714
"5",36.4206087314,127.4086140276,"소기업",40,"기타 기계 및 장비 제조업",39.6164283752441
"6",36.4367655399,127.3990616787,"중기업",89,"펄프, 종이 및 종이제품 제조업",47.1060485839844
"7",36.4367655399,127.3990616787,"중기업",54,"펄프, 종이 및 종이제품 제조업",47.1060485839844
"8",36.4367655399,127.3990616787,"중기업",71,"펄프, 종이 및 종이제품 제조업",47.1060485839844
"9",36.421609056,127.4237045649,"소기업",46,"폐기물 수집, 운반, 처리 및 원료 재생업",39.6164283752441
"10",36.3586125328,127.450279275,"소기업",12,"식료품 제조업",18.2538032531738
"11",36.3288661318,127.3374467367,"소기업",3,"기타 운송장비 제조업",11.7542724609375
"12",36.3377047307,127.4244615469,"소기업",3,"전기장비 제조업",4.33021116256714
"13",36.3186841804,127.3819963512,"소기업",9,"의복, 의복 액세서리 및 모피제품 제조업",4.33021116256714
"14",36.3438856635,127.4478329229,"소기업",11,"의복, 의복 액세서리 및 모피제품 제조업",4.33021116256714
"15",36.3260554538,127.4342819968,"소기업",20,"의복, 의복 액세서리 및 모피제품 제조업",8.12892055511475
"16",36.2763823534,127.4652720928,"소기업",10,"의료, 정밀, 광학 기기 및 시계 제조업",4.33021116256714
"17",36.3330745317,127.4262728394,"소기업",4,"전기장비 제조업",4.33021116256714
"18",36.2891394283,127.4516551612,"소기업",9,"1차 금속 제조업",4.33021116256714
"19",36.2139035541,127.4413106066,"소기업",22,"금속 가공제품 제조업; 기계 및 가구 제외",11.8432559967041
"20",36.3330745317,127.4262728394,"소기업",10,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"21",36.4351043489,127.3908042686,"소기업",19,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"22",36.3260554538,127.4342819968,"소기업",5,"섬유제품 제조업; 의복 제외",18.0353889465332
"23",36.4263025038,127.3948884318,"소기업",17,"전기장비 제조업",4.33021116256714
"24",36.2131996045,127.440388405,"소기업",3,"기타 기계 및 장비 제조업",4.33021116256714
"25",36.3440275705,127.4285224284,"소기업",10,"전기장비 제조업",4.33021116256714
"26",36.4120898333,127.4116093322,"소기업",6,"전기장비 제조업",4.33021116256714
"27",36.4218934658,127.4198771247,"소기업",5,"자동차 및 트레일러 제조업",7.31134748458862
"28",36.3549191901,127.3173445511,"소기업",8,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"29",36.3529163217,127.4135795476,"소기업",5,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"30",36.4230425628,127.4052117615,"소기업",10,"기타 운송장비 제조업",11.7542724609375
"31",36.4498003725,127.4042311924,"소기업",2,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"32",36.4023316602,127.3857175815,"소기업",31,"기타 기계 및 장비 제조업",12.6512308120728
"33",36.3882307507,127.3631116471,"소기업",11,"전기장비 제조업",4.33021116256714
"34",36.3931144102,127.3558515991,"소기업",7,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"35",36.3826593907,127.3652285851,"소기업",7,"기타 기계 및 장비 제조업",4.33021116256714
"36",36.4222593259,127.4019429066,"소기업",8,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"37",36.373565533,127.4132850957,"소기업",12,"기타 기계 및 장비 제조업",4.33021116256714
"38",36.4497255197,127.4037420124,"소기업",8,"전기장비 제조업",4.33021116256714
"39",36.4144285702,127.4103685815,"소기업",21,"화학 물질 및 화학제품 제조업; 의약품 제외",12.1433534622192
"40",36.3531941499,127.4077594221,"소기업",9,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"41",36.3445839434,127.3548082311,"소기업",19,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"42",36.4259840511,127.4234924895,"소기업",13,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"43",36.3135029906,127.3695362766,"소기업",21,"금속 가공제품 제조업; 기계 및 가구 제외",12.1433534622192
"44",36.3106856885,127.437985875,"소기업",13,"전기장비 제조업",4.33021116256714
"45",36.3726325771,127.4141623925,"소기업",3,"섬유제품 제조업; 의복 제외",18.0353889465332
"46",36.3319712174,127.428190089,"소기업",2,"의료용 물질 및 의약품 제조업",4.33021116256714
"47",36.4063147091,127.4238237358,"소기업",6,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"48",36.3567811852,127.4141513738,"소기업",10,"전기장비 제조업",4.33021116256714
"49",36.4156178397,127.4098954027,"소기업",0,"전기장비 제조업",4.33021116256714
"50",36.3758445188,127.409380603,"소기업",22,"비금속 광물제품 제조업",11.8432559967041
"51",36.4293240161,127.3907789736,"소기업",20,"의료, 정밀, 광학 기기 및 시계 제조업",8.12892055511475
"52",36.4272632077,127.3965548441,"소기업",4,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"53",36.4402096767,127.4347031953,"소기업",17,"음료 제조업",4.33021116256714
"54",36.4397645013,127.4344068283,"소기업",17,"음료 제조업",4.33021116256714
"55",36.4320251734,127.4087008442,"소기업",11,"전기장비 제조업",4.33021116256714
"56",36.4254747698,127.4040245455,"소기업",10,"기타 기계 및 장비 제조업",4.33021116256714
"57",36.3632512024,127.3378167521,"소기업",4,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"58",36.4303608506,127.4065266705,"소기업",40,"인쇄 및 기록매체 복제업",39.6164283752441
"59",36.4443913371,127.3992789648,"중기업",58,"고무 및 플라스틱제품 제조업",47.1060485839844
"60",36.3574781943,127.3664956645,"소기업",6,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"61",36.4324105236,127.3949883997,"소기업",4,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"62",36.4302408793,127.4270065502,"소기업",8,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"63",36.3462143728,127.3778777282,"소기업",1,"전기장비 제조업",4.33021116256714
"64",36.3826593907,127.3652285851,"소기업",3,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"65",36.4256952395,127.404756196,"소기업",2,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"66",36.3855999323,127.3685074879,"소기업",11,"식료품 제조업",18.2538032531738
"67",36.4246563647,127.4026815226,"소기업",8,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"68",36.3640892641,127.4315866663,"소기업",5,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"69",36.4284910388,127.3972877203,"소기업",1,"기타 기계 및 장비 제조업",4.33021116256714
"70",36.396347924,127.3521322317,"소기업",0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"71",36.4240664028,127.4061316752,"소기업",3,"자동차 및 트레일러 제조업",7.31134748458862
"72",36.348827899,127.4145872706,"소기업",5,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"73",36.379574945,127.3367052352,"소기업",10,"의료, 정밀, 광학 기기 및 시계 제조업",4.33021116256714
"74",36.40406497,127.4297943114,"소기업",4,"금속 가공제품 제조업; 기계 및 가구 제외",4.33021116256714
"75",36.4322233549,127.3887827943,"소기업",1,"전기장비 제조업",4.33021116256714
"76",36.3516939658,127.4089724892,"소기업",3,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"77",36.4155907503,127.4123194168,"소기업",34,"기타 기계 및 장비 제조업",12.6512308120728
"78",36.3173765336,127.3971332325,"소기업",9,"섬유제품 제조업; 의복 제외",18.0353889465332
"79",36.3699987071,127.4198733289,"소기업",34,"1차 금속 제조업",12.6512308120728
"80",36.4399875208,127.4217964468,"소기업",1,"의복, 의복 액세서리 및 모피제품 제조업",4.33021116256714
"81",36.4170992102,127.4099108804,"소기업",2,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"82",36.4178400163,127.4074213056,"소기업",35,"화학 물질 및 화학제품 제조업; 의약품 제외",12.6512308120728
"83",36.4324105236,127.3949883997,"소기업",1,"기타 기계 및 장비 제조업",4.33021116256714
"84",36.4440373498,127.3984193183,"소기업",4,"1차 금속 제조업",4.33021116256714
"85",36.4156158633,127.4106018343,"소기업",0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"86",36.2154475809,127.4162300223,"소기업",10,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"87",36.4553011267,127.427964807,"중기업",69,"펄프, 종이 및 종이제품 제조업",47.1060485839844
"88",36.3748942954,127.3545403134,"소기업",8,"기타 운송장비 제조업",11.7542724609375
"89",36.3503838041,127.4192799213,"소기업",18,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"90",36.3731559213,127.4191651824,"중기업",44,"기타 기계 및 장비 제조업",45.246768951416
"91",36.3499245278,127.4059280659,"소기업",9,"기타 기계 및 장비 제조업",4.33021116256714
"92",36.3727755134,127.3348762451,"소기업",15,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"93",36.4229650547,127.405665304,"소기업",42,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",39.6164283752441
"94",36.4255077282,127.3997479466,"소기업",2,"기타 기계 및 장비 제조업",4.33021116256714
"95",36.3913993308,127.4072705822,"소기업",0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"96",36.3928109365,127.3536534804,"소기업",0,"화학 물질 및 화학제품 제조업; 의약품 제외",4.33021116256714
"97",36.4120319581,127.4123466539,"소기업",3,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"98",36.3871831839,127.4040957267,"소기업",22,"기타 기계 및 장비 제조업",11.8432559967041
"99",36.4232563831,127.4073645204,"소기업",8,"의료, 정밀, 광학 기기 및 시계 제조업",4.33021116256714
"100",36.4240664028,127.4061316752,"소기업",8,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.33021116256714
"101",36.4142861172,127.4124028318,"중기업",70,"화학 물질 및 화학제품 제조업; 의약품 제외",47.1060485839844
